machine_names,blank_format
body,"{""body"":{""und"":[]}}"
field_contact_email,"{""field_contact_email"":{""und"":[]}}"
field_ddh_external_contact_email,"{""field_ddh_external_contact_email"":{""und"":[]}}"
field_ddh_harvest_src,"{""field_ddh_harvest_src"":{""und"":[]}}"
field_ddh_harvest_sys_id,"{""field_ddh_harvest_sys_id"":{""und"":[]}}"
field_exception_s_,"{""field_exception_s_"":{""und"":[]}}"
field_frequency,"{""field_frequency"":{""und"":[]}}"
field_granularity_list,"{""field_granularity_list"":{""und"":[]}}"
field_license_wbddh,"{""field_license_wbddh"":{""und"":[]}}"
field_tags,"{""field_tags"":{""und"":[]}}"
field_topic,"{""field_topic"":{""und"":[]}}"
field_wbddh_access_authority,"{""field_wbddh_access_authority"":{""und"":[]}}"
field_wbddh_acronym,"{""field_wbddh_acronym"":{""und"":[]}}"
field_wbddh_aggregation_method,"{""field_wbddh_aggregation_method"":[]}"
field_wbddh_base_period,"{""field_wbddh_base_period"":{""und"":[]}}"
field_wbddh_citation_text,"{""field_wbddh_citation_text"":{""und"":[]}}"
field_wbddh_collaborator_upi,"{""field_wbddh_collaborator_upi"":{""und"":[
]}}"
field_wbddh_copyright,"{""field_wbddh_copyright"":{""und"":[]}}"
field_wbddh_country,"{""field_wbddh_country"":{""und"":[]}}"
field_wbddh_data_class,"{""field_wbddh_data_class"":{""und"":[]}}"
field_wbddh_data_collector,"{""field_wbddh_data_collector"":{""und"":[]}}"
field_wbddh_data_notes,"{""field_wbddh_data_notes"":{""und"":[]}}"
field_wbddh_data_type,"{""field_wbddh_data_type"":{""und"":[]}}"
field_wbddh_deviations_sample,"{""field_wbddh_deviations_sample"":{""und"":[]}}"
field_wbddh_disclaimer,"{""field_wbddh_disclaimer"":{""und"":[]}}"
field_wbddh_disclosure_risk,"{""field_wbddh_disclosure_risk"":{""und"":[]}}"
field_wbddh_dsttl_upi,"{""field_wbddh_dsttl_upi"":{""und"":[
]}}"
field_wbddh_ds_source,"{""field_wbddh_ds_source"":{""und"":[]}}"
field_wbddh_economy_coverage,"{""field_wbddh_economy_coverage"":{""und"":[]}}"
field_wbddh_embargo,"{""field_wbddh_embargo"":[]}"
field_wbddh_end_date,"{""field_wbddh_end_date"":{""und"":[]}}"
field_wbddh_estimate_sampling,"{""field_wbddh_estimate_sampling"":{""und"":[]}}"
field_wbddh_gps_ccsas,"{""field_wbddh_gps_ccsas"":{""und"":[]}}"
field_wbddh_kind_of_data,"{""field_wbddh_kind_of_data"":{""und"":[]}}"
field_wbddh_languages_supported,"{""field_wbddh_languages_supported"":{""und"":[]}}"
field_wbddh_mode_data_collection,"{""field_wbddh_mode_data_collection"":{""und"":[]}}"
field_wbddh_modified_date,"{""field_wbddh_modified_date"":{""und"":[]}}"
field_wbddh_next_expected_update,"{""field_wbddh_next_expected_update"":{""und"":[]}}"
field_wbddh_no_of_economies,"{""field_wbddh_no_of_economies"":{""und"":}}"
field_wbddh_organization,"{""field_wbddh_organization"":[]}"
field_wbddh_periodicity,"{""field_wbddh_periodicity"":{""und"":[]}}"
field_wbddh_primary_investigator,"{""field_wbddh_primary_investigator"":{""und"":[]}}"
field_wbddh_produced_by,"{""field_wbddh_produced_by"":{""und"":[]}}"
field_wbddh_publisher_name,"{""field_wbddh_publisher_name"":{""und"":[]}}"
field_wbddh_reference_id,"{""field_wbddh_reference_id"":{""und"":[]}}"
field_wbddh_reference_system,"{""field_wbddh_reference_system"":{""und"":[]}}"
field_wbddh_release_date,"{""field_wbddh_release_date"":{""und"":[]}}"
field_wbddh_response_rates,"{""field_wbddh_response_rates"":{""und"":[]}}"
field_wbddh_responsible,"{""field_wbddh_responsible"":{""und"":[]}}"
field_wbddh_sampling_procedure,"{""field_wbddh_sampling_procedure"":{""und"":[]}}"
field_wbddh_search_tags,"{""field_wbddh_search_tags"":{""und"":[]}}"
field_wbddh_series_information,"{""field_wbddh_series_information"":{""und"":[]}}"
field_wbddh_source,"{""field_wbddh_source"":{""und"":[]}}"
field_wbddh_start_date,"{""field_wbddh_start_date"":{""und"":[]}}"
field_wbddh_statistical_concept,"{""field_wbddh_statistical_concept"":[]}"
field_wbddh_study_type,"{""field_wbddh_study_type"":{""und"":[]}}"
field_wbddh_subtitle,"{""field_wbddh_subtitle"":{""und"":[]}}"
field_wbddh_terms_of_use,"{""field_wbddh_terms_of_use"":{""und"":[]}}"
field_wbddh_terms_of_use,"{""field_wbddh_terms_of_use"":{""und"":[]}}"
field_wbddh_type_of_license,"{""field_wbddh_type_of_license"":{""und"":[]}}"
field_wbddh_unit_of_analysis,"{""field_wbddh_unit_of_analysis"":{""und"":[]}}"
field_wbddh_universe,"{""field_wbddh_universe"":{""und"":[]}}"
field_wbddh_update_frequency,"{""field_wbddh_update_frequency"":{""und"":[]}}"
field_wbddh_update_schedule,"{""field_wbddh_update_schedule"":{""und"":[]}}"
field_wbddh_version_date,"{""field_wbddh_version_date"":{""und"":[]}}"
field_wbddh_version_description,"{""field_wbddh_version_description"":{""und"":[]}}"
field_wbddh_version_notes,"{""field_wbddh_version_notes"":{""und"":[]}}"
field_wbddh_weighting,"{""field_wbddh_weighting"":{""und"":[]}}"
field_wbddh_questionnaires,"{""field_wbddh_questionnaires"":{""und"":[]}}"
field_wbddh_ds_embargo_date,"{""field_wbddh_ds_embargo_date"":{""und"":[]}}"
field_wbddh_funding_name,"{""field_wbddh_funding_name"":{""und"":[]}}"
field_wbddh_supervision,"{""field_wbddh_supervision"":{""und"":[]}}"
field_wbddh_region,"{""field_wbddh_region"":{""und"":[]}}"
field_external_metadata,"{""field_external_metadata"":{""und"":[]}}"
