"machine_name","input_name"
"body","Description"
"field_contact_email","Contact Email"
"field_topic","Topics"
"field_wbddh_data_class","Data Classification"
"field_wbddh_data_type","Data Type"
"field_wbddh_disclaimer","Disclaimer"
"field_wbddh_disclosure_risk","Disclosure Risk"
"field_wbddh_economy_coverage","Economy coverage"
"field_wbddh_embargo_comments","Embargo Comments"
"field_wbddh_languages_supported","Language supported"
"field_wbddh_no_of_economies","Number of economies"
"field_wbddh_project_id","WB Project ID"
"field_wbddh_responsible","TTL responsible"
"field_wbddh_subtitle","Subtitle"
"field_wbddh_version_description","Version Description"
"field_wbddh_acronym","Acronym"
"field_wbddh_copyright","Copyright"
"field_wbddh_ds_embargo_date","Embargo Date"
"field_wbddh_dsttl_upi","TTL Name/ UPI"
"field_wbddh_next_expected_update","Next Expected Update"
"field_wbddh_release_date","Release Date"
"field_granularity_list","Granularity"
"field__wbddh_depositor_notes","Depositor Notes"
"field_wbddh_version_notes","Version Notes"
"field_wbddh_statistical_concept","Statistical Concept and Methodology"
"field_wbddh_citation_text","Citation Text"
"field_exception_s_","Exception"
"field_license_wbddh","License"
"title","Title"
"field_wbddh_resource_type","Source Type"
"field_wbddh_bands","Bands"
"field_wbddh_satellite","Satellite"
"field_wbddh_scene_size","Scene Size"
"field_wbddh_sensor","Sensor"
"field_wbddh_spatial_resolution","Spatial Resolution"
"field_wbddh_update_schedule","Update Schedule"
"field_wbddh_start_date","Start Date"
"field_wbddh_periodicity","Periodicity"
"field_related_links_and_publicat","Related links and Publications"
"field_wbddh_end_date","End Date"
"field_wbddh_programmatic_region","Region"
"field_spatial_geographical_cover","Geographical Coverage"
"field_wbddh_version_date","Version Production Date"
