machine_names,json_template
body,"{""body"":{""und"":[{""value"":""""}]}}"
field_dataset_ref,"{""field_dataset_ref"":{""und"":[{""target_id"":""""}]}}"
field_ddh_harvest_src,"{""field_ddh_harvest_src"": {
		""und"": []
	}}"
field_ddh_harvest_sys_id,"{""field_ddh_harvest_sys_id"": {
		""und"": [{
			""value"": """"
		}]
	}}"
field_exception_s_,"{""field_exception_s_"": []}"
field_format,"{""field_format"": {
		""und"": []
	}}"
field_link_api,"{""field_link_api"": {
		""und"": [{
			""url"": """"
		}]
	}}"
field_wbddh_api_format,"{""field_wbddh_api_format"": {
		""und"": []
	}}"
field_wbddh_data_class,"{""field_wbddh_data_class"":{""und"":[]}}"
field_wbddh_resource_type,"{""field_wbddh_resource_type"":{""und"":[]}}"
title,"{""title"": """"}"
type,"{""type"": """"}"
field_ddh_harvest_src,"{""field_ddh_harvest_src"": {
		""und"": []
	}}"
field_ddh_harvest_sys_id,"{""field_ddh_harvest_sys_id"": {
		""und"": [{
			""value"": """"
		}]
	}}"
moderation_next_state,"{""moderation_next_state"": """"}"
